Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C],PSAL [psu],DOXY [ml/l]
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,0.2,3.57,9.029,6.76
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,1,3.57,9.006,6.71
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,5,3.56,9.008,6.47
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,10,3.56,9.053,6.17
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,15,3.55,9.055,6.03
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,20,3.55,9.111,6.03
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,25,3.56,9.108,6.08
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,30,3.57,9.15,6.03
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,35,3.6,9.21,5.98
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,40,3.79,9.49,6.03
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,45,4.24,12.094,5.68
????,0247,B,2015-02-17T09:54,55.0000,13.3000,0048,46.0,5.06,17.973,5.10
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,0.8,12.83,7.63,5.29
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,1,12.83,7.622,5.29
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,5,12.76,7.636,
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,5.2,12.75,7.623,
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,10,12.43,7.611,
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,15,11.32,7.582,5.68
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,20,10.55,7.71,5.34
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,25,10.68,7.888,5.15
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,30,6.41,7.596,5.19
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,35,5.32,7.925,5.15
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,40,5.61,8.091,5.24
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,45,5.37,8.147,5.10
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,50,,,
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,51.3,5.21,8.605,4.95
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,55.7,5.42,10.303,4.51
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,61,5.54,12.058,3.4
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,66.2,5.49,13.744,3.58
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,71,7.18,15.604,2.55
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,76,7.02,17.897,1.52
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,80.9,6.98,18.574,2.01
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,81,,,
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,86.0,7.,19.052,1.62
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,89,7.,19.193,1.23
????,0793,B,2015-06-12T08:15,55.2500,15.9833,0089,90,6.99,19.226,0.93
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,0,,7.577,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,1,,7.537,4.80
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,5,,7.578,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,5.2,,7.58,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,10,,7.595,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,15,,7.589,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,20,,7.596,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,25,,7.675,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,30,,7.595,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,35,,7.767,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,40,,7.466,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,45.6,,7.563,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,50,,7.85,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,56,,11.887,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,61,,15.152,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,66,,17.198,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,71,,18.303,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,76.3,,18.715,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,81,,19.112,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,86.0,,19.356,
????,1133,B,2015-08-03T08:06,55.2500,15.9833,0089,89,,19.355,0.88
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,0.2,17.93,8.167,4.50
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,1,17.88,8.345,4.46
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,5,17.68,8.328,4.6
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,10.3,17.49,8.349,4.50
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,15,17.44,8.326,4.50
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,20,17.04,8.34,4.50
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,25,16.85,8.303,4.6
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,30,15.56,8.179,4.6
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,35,11.29,7.915,4.78
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,40,10.75,8.417,4.78
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,45,11.19,9.78,3.53
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,46,9.65,11.94,2.04
????,1321,B,2015-08-20T10:37,55.0000,13.3000,0047,46.6,9.17,12.29,1.48
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,0.6,17.8,7.599,4.61
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,1,17.8,7.606,4.61
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,5,17.81,7.604,5.10
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,10,17.78,7.609,6.03
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,15.3,17.68,7.626,5.68
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,20.8,17.64,7.633,5.24
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,25.4,17.53,7.64,5.54
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,30,10.27,7.323,4.95
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,35.5,7.2,7.491,5.10
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,40,5.95,7.582,5.10
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,45,5.86,7.835,4.85
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,50,5.69,8.214,5.15
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,56,5.6,9.087,5.00
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,60.8,5.83,10.959,4.31
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,61,,,
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,66,6.5,14.694,3.28
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,70.8,7.07,,1.81
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,71,,,
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,76,7.04,17.878,2.06
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,80.9,7.,18.601,1.81
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,81,,,
????,1383,B,2015-08-31T08:21,55.2500,15.9833,0089,86,6.99,18.973,1.23
