Survey,Year,Quarter,Area,AphiaID,Species,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10
BITS,1991,1,24,126436,Gadus morhua,0.000000,2.244168,6.805555,6.478436,7.238207,0.737180,0.087928,0.099466,0.120724,0.000000,0.020832
BITS,1991,1,25,126436,Gadus morhua,0.000000,3.471984,24.622968,39.879375,58.799638,24.051642,1.627689,2.056769,0.000000,0.000000,0.137665
BITS,1991,1,26,126436,Gadus morhua,0.000000,8.791908,8.521493,38.136942,29.614302,32.143540,11.108177,5.864538,1.959270,0.399791,0.403970
BITS,1991,1,27,126436,Gadus morhua,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BITS,1991,1,28,126436,Gadus morhua,0.000000,0.172910,25.801167,42.459800,34.472939,41.934686,12.712721,9.628652,2.759300,0.321514,1.394769
BITS,1991,3,24,126436,Gadus morhua,0.000000,1.105000,6.490000,1.430000,0.440000,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
BITS,1991,3,25,126436,Gadus morhua,7.253974,41.418686,49.853786,4.004867,0.614512,0.197247,0.000000,0.000000,0.000000,0.060685,0.060685
BITS,1991,3,27,126436,Gadus morhua,0.000000,0.000000,2.504048,4.608796,2.608032,0.324198,0.161900,0.000000,0.069386,0.092514,0.000000
BITS,1991,3,28,126436,Gadus morhua,0.114314,32.141566,1.780485,3.686176,1.597945,0.183056,0.174626,0.000000,0.025523,0.000000,0.000000
BITS,1991,4,24,126436,Gadus morhua,9.939630,67.612494,60.098760,28.162355,8.302087,0.932614,1.534578,0.060705,0.000000,0.000000,0.000000
BITS,1991,4,24,127141,Platichthys flesus,0.000000,0.000000,8.379714,53.618360,89.389795,31.170403,9.313794,3.629824,2.054045,1.058514,0.687476
BITS,1991,4,27,126436,Gadus morhua,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BITS,1992,1,22,126436,Gadus morhua,0.000000,170.879495,14.614883,4.616059,0.816181,0.549799,0.549799,0.000000,0.000000,0.000000,0.016953
BITS,1992,1,23,126436,Gadus morhua,0.000000,94.954527,90.511582,349.466940,116.761967,6.654805,0.000000,0.000000,0.000000,0.000000,0.000000
BITS,1992,1,24,126436,Gadus morhua,0.000000,3.518211,72.589675,101.450569,30.626796,2.387840,0.360628,0.462520,0.178403,0.000000,0.009187
BITS,1992,1,24,127141,Platichthys flesus,0.000000,0.000000,0.093921,10.827178,24.571226,14.287486,5.138686,2.017879,0.780426,0.317533,0.282264
BITS,1992,1,25,126436,Gadus morhua,0.000000,50.832033,23.128138,33.550447,9.724571,7.580865,3.169214,0.580958,0.921394,0.109629,0.034066
BITS,1992,1,26,126436,Gadus morhua,0.000000,5.392837,15.856484,32.115915,13.381010,4.796982,1.005240,6.312828,0.000000,0.000000,0.305166
BITS,1992,1,27,126436,Gadus morhua,0.000000,2.383819,0.310845,1.293030,3.038827,3.508826,2.070236,0.854988,1.563543,0.179696,0.260456
BITS,1992,1,28,126436,Gadus morhua,0.000000,1.322070,14.732040,11.835595,5.251067,0.603093,0.000000,3.887696,0.445070,0.000000,0.196877
BITS,1992,3,23,126436,Gadus morhua,348.415174,867.544358,297.115624,775.642613,142.465890,1.979666,0.000000,0.000000,5.460394,0.000000,1.319777
BITS,1992,3,24,126436,Gadus morhua,23.068923,224.912342,16.194316,0.344930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BITS,1992,3,25,126436,Gadus morhua,115.021915,1472.374365,70.855436,11.040566,0.472978,0.233405,0.147407,0.128996,0.085997,0.064482,0.000000
BITS,1992,3,26,126436,Gadus morhua,0.000000,0.000000,0.000000,2.200000,0.000000,2.200000,4.400000,0.000000,0.000000,0.000000,0.000000
BITS,1992,3,27,126436,Gadus morhua,0.000000,3.148874,0.475349,1.188373,1.544885,1.188373,1.544885,0.237674,0.000000,0.237674,0.000000
BITS,1992,3,28,126436,Gadus morhua,0.000000,0.215002,0.000000,0.962352,0.588677,1.851312,0.962352,0.818154,0.363162,0.000000,0.000000
BITS,1992,4,22,126436,Gadus morhua,16.479500,73.050300,13.829600,0.717900,0.000000,0.179500,0.269200,0.179500,0.000000,0.000000,0.000000
BITS,1992,4,24,126436,Gadus morhua,111.200717,544.919830,93.089248,16.648647,1.767481,0.093219,0.000000,0.326266,0.000000,0.000000,0.000000
BITS,1992,4,24,127141,Platichthys flesus,0.000000,0.435821,16.340852,82.770500,33.852670,8.664857,2.480286,1.206223,0.062842,0.000000,0.000000
BITS,1993,1,22,126436,Gadus morhua,0.000000,7.052638,13.068274,13.495850,2.871535,0.213005,0.047476,0.000000,0.000000,0.000000,0.000000
BITS,1993,1,22,127141,Platichthys flesus,0.000000,0.000000,0.221977,0.444663,0.083512,0.201637,0.083512,0.062421,0.000000,0.000000,0.000000
BITS,1993,1,23,126436,Gadus morhua,0.000000,5.719473,0.000000,0.000000,684.404198,0.000000,0.000000,0.000000,0.000000,0.000000,0.494916
BITS,1993,1,24,126436,Gadus morhua,0.000000,37.686872,477.804651,99.832144,11.458419,2.670324,0.810221,0.249490,0.057619,0.058921,0.034863
BITS,1993,1,24,127141,Platichthys flesus,0.000000,0.397895,4.811780,31.910307,18.862579,7.237192,0.914648,0.313782,0.040868,0.000000,0.000000
